"","EBV__0dpi__HD1","EBV__2dpi__HD1","EBV-Lin__2dpi__HD1","hiEBV__2dpi__HD1","hiEBV-Lin__2dpi__HD1","CPG__2dpi__HD1","CPG-Lin__2dpi__HD1","BCR__2dpi__HD1","BCR-Lin__2dpi__HD1","EBV__0dpi__HD2","EBV__2dpi__HD2","EBV-Lin__2dpi__HD2","hiEBV__2dpi__HD2","CPG__2dpi__HD2","CPG-Lin__2dpi__HD2","BCR__2dpi__HD2","BCR-Lin__2dpi__HD2","EBV__0dpi__HD3","EBV__2dpi__HD3","EBV-Lin__2dpi__HD3","hiEBV__2dpi__HD3","hiEBV-Lin__2dpi__HD3","CPG__2dpi__HD3","CPG-Lin__2dpi__HD3","BCR__2dpi__HD3","BCR-Lin__2dpi__HD3","EBV__0dpi__HD4","EBV__2dpi__HD4","EBV-Lin__2dpi__HD4","hiEBV__2dpi__HD4","hiEBV-Lin__2dpi__HD4","CPG__2dpi__HD4","CPG-Lin__2dpi__HD4","BCR__2dpi__HD4","BCR-Lin__2dpi__HD4"
"ENSG00000135931",8.68015989779471,9.15478305133199,10.0476490756175,8.50606903794906,9.64275543806784,8.39069095610234,9.44751563124414,10.2959223474478,11.158964323902,8.3411662369075,9.41614730667136,9.72787118533778,8.46677596721912,8.62008828086262,9.58365250397226,10.2482399004837,11.4400672936189,8.50048659740047,8.6207470410559,10.0720858491693,8.29607413790771,10.0165952900946,8.11650394193894,9.91919057882239,10.2989209342659,11.4839053888022,9.01325343702298,8.93987926122744,10.4276067863624,8.16981251063079,11.2517738252117,8.69137954149847,9.35293959597307,9.0174925306443,10.4603722708862
"ENSG00000136541",8.77979686076319,10.1279415721077,11.6400568836341,8.64758369867746,8.98881689841786,8.02742868686898,9.0792325618177,8.68591315423335,8.16080934495914,8.55537174410196,9.33741443164638,10.6785453050566,9.08378561858323,8.91223604558899,8.45776682261465,8.63234736121282,9.35371459251052,9.18690805240835,10.0738787271447,11.2168319830462,8.89088284454477,9.21549723640458,8.43028305959611,8.65065520031536,8.1689594906088,8.30368306741062,8.6166888026551,8.92711719902151,10.3828432262442,8.59139887703062,9.18068110822633,8.93048575106563,9.53659488514859,9.28622843502938,8.68554137705814
"ENSG00000137078",12.3606891657537,10.6852166254407,9.12832285344249,12.371864761889,11.8536637258369,12.5654130675127,12.4588523575705,12.1072890036187,12.2419616954954,11.855912453132,10.583424853076,10.2593159504494,12.4622425649125,12.2722695867617,12.6699032589788,12.072533821912,11.8450848499418,12.2949586604073,10.8442438110229,9.19934339448717,12.4598586396856,11.1808908942257,12.913582839638,12.117948571,12.4992244040436,12.2632220420497,12.1449533336576,10.4325094070616,9.63043126478546,12.0900061115503,11.9140117112336,12.5224649160531,12.397943540606,12.6213835804791,12.0195693911332
"ENSG00000137801",15.4666283501556,8.16318380662675,9.55593575324,9.1027863082044,11.6654915990558,13.1489431365151,15.4581564573852,15.3596714950847,15.5146041964027,14.9036631763022,9.00182836799257,11.5968521041199,9.76385129049606,9.32507801378706,15.2869004447403,14.8060681944366,16.1472260549433,14.7731693481515,9.03033306120368,9.92393288120583,10.5674921465848,12.4609569788947,13.2622179537918,14.0883693611889,14.4023368037538,14.9265925678952,14.1852661297086,8.61343758822797,11.7952973989165,10.877913781056,12.4525872977605,12.0842800126555,14.7062366867361,13.6060903103678,15.1142918972412
"ENSG00000138061",13.7884271107095,8.51785374651715,10.5951909226834,11.1997516659619,13.4700022061842,11.9634505841534,13.6614269750969,13.8264759456249,14.6207843732679,13.8336794936752,9.02986913704494,11.2296174565741,10.6663982193562,11.3267560033903,14.3518552370916,13.6876046101652,15.1127652028796,13.451199699146,8.89811596639543,10.4400614211237,11.8894795900093,12.6607113393683,12.7682714121568,13.9345665658599,13.1948564678734,14.4061010682664,12.5171952099192,9.63853345063782,12.2612846795438,12.1309940031841,13.3325678775247,12.3126072149237,13.3996782226142,12.3093022669767,13.741200604875
"ENSG00000138835",11.4247017846893,12.7051288024153,11.4679804852651,12.7808176245491,11.7804357647908,12.505446816969,11.864352961683,11.1150544075117,11.1337370105723,11.719107840637,12.1535470003832,11.7343125844141,12.717434198566,12.3812383945881,11.9978577772598,11.5852311392813,10.6247427612667,10.6910077983102,12.8096603355895,11.4651773293184,12.4997954220091,12.0559691250422,12.6192942487707,11.5911740046799,11.7687735202989,11.2768038744268,11.7133581762758,12.1450746566641,11.2402288091289,12.1729397273697,11.5097988724049,12.4060423229982,11.9630183321808,12.0308527964024,11.5963419650209
"ENSG00000139055",8.35875636142851,6.73073476006371,7.42561729248373,7.89299198315171,8.52542502138095,7.74872928464444,7.82823840609586,7.75302923006508,7.72155767700863,8.20298344181458,6.81407277426732,7.64643512509895,8.11340192184567,7.75299535111946,8.16856516623877,7.53687515013218,7.97363108399203,8.76360818791314,6.72245517350515,7.14620788959324,8.01138943776217,8.24489526554613,7.86042015361875,7.70472339278373,7.7574721098674,7.77390840573289,8.2357302119842,6.16353823528987,6.86083207396379,8.42564862514058,8.58324990866923,7.93742312749473,7.57668255576086,8.08121268595538,8.12076259206397
"ENSG00000139193",12.0381523715868,8.91126717782616,9.23689378267542,11.6524893391527,12.2347188442397,10.9756999304845,11.5013226858989,11.4029538928402,11.6487986802747,11.7565900961929,8.72873819896267,9.87178740773967,11.522179570373,11.2416188745714,11.8926962221035,11.5418907408146,11.9798737381125,12.2441369088598,9.06322144486022,9.48225809718888,11.7367435381927,11.8685655188716,11.2404556850171,11.235032214737,11.3595913482598,11.3722919489919,11.381439465892,9.40981752083887,10.3013012643078,11.6632799276966,12.024550641519,10.6076916093076,11.238744084606,11.5624638259318,11.4130083648794
"ENSG00000140199",14.0256078874708,14.4839437307878,14.8191976087167,14.2282564718807,14.949369648251,13.7905723030173,14.1016560470197,14.0099795049749,14.3323315602047,14.1181483181045,14.7017518143655,14.970950214018,14.3649201030233,13.5426782750189,14.0450841361102,14.1557011709491,14.5371346460315,13.8980583831549,14.2032739223754,14.6977536930442,14.5915754347398,15.1142393129489,13.7972670783978,14.1093040410842,13.9422707543095,14.3871721422688,14.299679499147,14.2094165092569,14.9725147899908,14.0792317219337,14.8252779333863,13.7283130574151,14.1548098043171,14.0868645579156,14.3848068889611
"ENSG00000142156",7.27410058333356,6.57178249534391,8.32780143531912,6.59104880138774,8.23639446953932,7.87706563318737,8.5606666017332,7.01453272657878,8.42208771422938,7.86891942488721,7.25506779183482,7.97230680602851,6.43972826204827,6.92760067743727,8.3092445169316,7.45508771161802,8.99469410757197,8.66000450834776,6.15206499033796,7.5034660853648,6.26545999612214,7.35920046558748,8.05966621632059,8.24486180467649,7.33237274609684,9.29838364779831,6.56044420792008,7.41642815869016,10.6391868369114,7.18083694767408,8.72295173418959,7.22641722382619,7.1744055895867,6.25656869581062,7.69824106604353
